sub,sfizID,order
sub-L007,13,1
sub-L020,15,1
sub-L018,19,1
sub-L008,20,1
sub-L017,21,1
sub-L016,27,1
sub-L011,28,1
sub-L001,33,1
sub-L009,34,1
sub-L090,35,1
sub-L005,40,1
sub-L034,47,1
sub-L080,57,1
sub-L002,,1
sub-L003,,1
sub-L006,,1
sub-L010,,1
sub-L014,,1
sub-L015,,1
sub-L056,,1
sub-L091,,1
sub-L033,1,2
sub-L070,4,2
sub-L046,6,2
sub-L029,14,2
sub-L060,24,2
sub-L065,25,2
sub-L030,32,2
sub-L081,37,2
sub-L023,50,2
sub-L049,51,2
sub-L025,,2
sub-L026,,2
sub-L031,,2
sub-L047,,2
sub-L052,,2
sub-L053,,2
sub-L093,,2
sub-L095,,2
sub-L097,,2
sub-L022,8,3
sub-L073,10,3
sub-L072,18,3
sub-L086,30,3
sub-L055,36,3
sub-L071,39,3
sub-L038,44,3
sub-L094,45,3
sub-L035,46,3
sub-L051,49,3
sub-L028,53,3
sub-L074,56,3
sub-L004,,3
sub-L036,,3
sub-L048,,3
sub-L062,,3
sub-L068,,3
sub-L084,7,4
sub-L054,9,4
sub-L087,12,4
sub-L057,17,4
sub-L019,22,4
sub-L041,23,4
sub-L076,29,4
sub-L024,38,4
sub-L083,42,4
sub-L037,,4
sub-L039,,4
sub-L044,,4
sub-L061,,4
sub-L063,,4
sub-L079,,4
sub-L085,,4
sub-L032,2,5
sub-L092,3,5
sub-L064,5,5
sub-L058,11,5
sub-L042,16,5
sub-L078,26,5
sub-L096,31,5
sub-L040,41,5
sub-L088,43,5
sub-L082,48,5
sub-L059,52,5
sub-L045,54,5
sub-L089,55,5
sub-L027,,5
sub-L067,,5
sub-L075,,5
sub-L077,,5